Germany|Western Europe|DEU|82164700|Kiel|Schleswig-Holstein|233795
United States|North America|USA|278357000|Worcester|Massachusetts|172648
Mexico|Central America|MEX|98881000|Ensenada|Baja California|369573
Russian Federation|Eastern Europe|RUS|146934000|Kovrov|Vladimir|159900
Brazil|South America|BRA|170115000|Ipatinga|Minas Gerais|206338
Nigeria|Western Africa|NGA|111506000|Enugu|Anambra & Enugu & Eb|316100
United Arab Emirates|Middle East|ARE|2441000|Abu Dhabi|Abu Dhabi|398695
India|Southern and Central Asia|IND|1013662000|Baidyabati|West Bengali|90601
India|Southern and Central Asia|IND|1013662000|Rampur|Uttar Pradesh|243742
India|Southern and Central Asia|IND|1013662000|Warangal|Andhra Pradesh|447657
Indonesia|Southeast Asia|IDN|212107000|Depok|Yogyakarta|106800
China|Eastern Asia|CHN|1277558000|Jiaozhou|Shandong|153364
Mexico|Central America|MEX|98881000|Tulancingo de Bravo|Hidalgo|121946
India|Southern and Central Asia|IND|1013662000|Parbhani|Maharashtra|190255
Brazil|South America|BRA|170115000|Ponta Grossa|Paraná|268013
India|Southern and Central Asia|IND|1013662000|Aligarh|Uttar Pradesh|480520
Japan|Eastern Asia|JPN|126714000|Fukuoka|Fukuoka|1308379
China|Eastern Asia|CHN|1277558000|Xiaoshan|Zhejiang|162930
Poland|Eastern Europe|POL|38653600|Bydgoszcz|Kujawsko-Pomorskie|386855
China|Eastern Asia|CHN|1277558000|Yan´an|Shaanxi|113277
Iran|Southern and Central Asia|IRN|67702000|Varamin|Teheran|107233
Russian Federation|Eastern Europe|RUS|146934000|Saratov|Saratov|874000
South Korea|Eastern Asia|KOR|46844000|Wonju|Kang-won|237460
Germany|Western Europe|DEU|82164700|Münster|Nordrhein-Westfalen|264670
Morocco|Northern Africa|MAR|28351000|Marrakech|Marrakech-Tensift-Al|621914
Japan|Eastern Asia|JPN|126714000|Kawaguchi|Saitama|452155
India|Southern and Central Asia|IND|1013662000|North Dum Dum|West Bengali|149965
Turkey|Middle East|TUR|66591000|Samsun|Samsun|339871
Brazil|South America|BRA|170115000|Queimados|Rio de Janeiro|115020
United States|North America|USA|278357000|North Las Vegas|Nevada|115488
China|Eastern Asia|CHN|1277558000|Zhangjiagang|Jiangsu|97994
Netherlands|Western Europe|NLD|15864000|Amersfoort|Utrecht|126270
Japan|Eastern Asia|JPN|126714000|Kawachinagano|Osaka|119666
India|Southern and Central Asia|IND|1013662000|Bhilwara|Rajasthan|183965
Japan|Eastern Asia|JPN|126714000|Atsugi|Kanagawa|212407
Russian Federation|Eastern Europe|RUS|146934000|Prokopjevsk|Kemerovo|237300
Algeria|Northern Africa|DZA|31471000|Mostaganem|Mostaganem|115212
Belarus|Eastern Europe|BLR|10236000|Brest|Brest|286000
United Kingdom|British Islands|GBR|59623400|Eastbourne|England|90000
Japan|Eastern Asia|JPN|126714000|Takasago|Hyogo|97632
Taiwan|Eastern Asia|TWN|22256000|Luchou|Taipei|160516
Mexico|Central America|MEX|98881000|Victoria|Tamaulipas|262686
Brazil|South America|BRA|170115000|Pindamonhangaba|São Paulo|121904
India|Southern and Central Asia|IND|1013662000|Ahmadnagar|Maharashtra|181339
China|Eastern Asia|CHN|1277558000|Lianyuan|Hunan|118858
Senegal|Western Africa|SEN|9481000|Ziguinchor|Ziguinchor|192000
Brazil|South America|BRA|170115000|Birigui|São Paulo|94685
Myanmar|Southeast Asia|MMR|45611000|Myingyan|Mandalay|103600
Russian Federation|Eastern Europe|RUS|146934000|Miass|Tšeljabinsk|166200
Ghana|Western Africa|GHA|20212000|Tema|Greater Accra|109975
Uzbekistan|Southern and Central Asia|UZB|24318000|Samarkand|Samarkand|361800
Nigeria|Western Africa|NGA|111506000|Ibadan|Oyo & Osun|1432000
Belarus|Eastern Europe|BLR|10236000|Novopolotsk|Vitebsk|106000
Nigeria|Western Africa|NGA|111506000|Maiduguri|Borno & Yobe|320000
United States|North America|USA|278357000|Jersey City|New Jersey|240055
China|Eastern Asia|CHN|1277558000|Zhoushan|Zhejiang|156317
Kazakstan|Southern and Central Asia|KAZ|16223000|Astana|Astana|311200
China|Eastern Asia|CHN|1277558000|Lengshuijiang|Hunan|137994
Nigeria|Western Africa|NGA|111506000|Kano|Kano & Jigawa|674100
Iran|Southern and Central Asia|IRN|67702000|Miandoab|West Azerbaidzan|90100
Japan|Eastern Asia|JPN|126714000|Saga|Saga|170034
India|Southern and Central Asia|IND|1013662000|Damoh|Madhya Pradesh|95661
Brazil|South America|BRA|170115000|Boa Vista|Roraima|167185
Japan|Eastern Asia|JPN|126714000|Niiza|Saitama|147744
China|Eastern Asia|CHN|1277558000|Xianyang|Shaanxi|352125
United States|North America|USA|278357000|Glendale|Arizona|218812
Ukraine|Eastern Europe|UKR|50456000|Mukatševe|Taka-Karpatia|89000
South Korea|Eastern Asia|KOR|46844000|Songnam|Kyonggi|869094
Indonesia|Southeast Asia|IDN|212107000|Lhokseumawe|Aceh|109600
El Salvador|Central America|SLV|6276000|Nueva San Salvador|La Libertad|98400
Azerbaijan|Middle East|AZE|7734000|Baku|Baki|1787800
Russian Federation|Eastern Europe|RUS|146934000|Pihkova|Pihkova|201500
United States|North America|USA|278357000|Charleston|South Carolina|89063
India|Southern and Central Asia|IND|1013662000|Sambhal|Uttar Pradesh|150869
Nigeria|Western Africa|NGA|111506000|Makurdi|Benue|123100
Mexico|Central America|MEX|98881000|Ocosingo|Chiapas|171495
Belgium|Western Europe|BEL|10239000|Antwerpen|Antwerpen|446525
Greece|Southern Europe|GRC|10545700|Peristerion|Attika|137288
Russian Federation|Eastern Europe|RUS|146934000|Novouralsk|Sverdlovsk|93300
China|Eastern Asia|CHN|1277558000|Tumen|Jilin|91471
Sudan|Northern Africa|SDN|29490000|al-Fashir|Darfur al-Shamaliya|141884
Japan|Eastern Asia|JPN|126714000|Tsuruoka|Yamagata|100713
India|Southern and Central Asia|IND|1013662000|Palayankottai|Tamil Nadu|97662
Argentina|South America|ARG|37032000|Córdoba|Córdoba|1157507
South Korea|Eastern Asia|KOR|46844000|Hanam|Kyonggi|115812
United Kingdom|British Islands|GBR|59623400|Basildon|England|100924
United States|North America|USA|278357000|Inglewood|California|112580
Russian Federation|Eastern Europe|RUS|146934000|Volzski|Volgograd|286900
India|Southern and Central Asia|IND|1013662000|Hospet|Karnataka|96322
Japan|Eastern Asia|JPN|126714000|Funabashi|Chiba|545299
Austria|Western Europe|AUT|8091800|Linz|North Austria|188022
Japan|Eastern Asia|JPN|126714000|Sakai|Osaka|797735
Mexico|Central America|MEX|98881000|Zitácuaro|Michoacán de Ocampo|137970
Pakistan|Southern and Central Asia|PAK|156483000|Dera Ghazi Khan|Punjab|188100
Brazil|South America|BRA|170115000|Caxias|Maranhão|133980
Brazil|South America|BRA|170115000|Bauru|São Paulo|313670
Netherlands|Western Europe|NLD|15864000|Maastricht|Limburg|122087
North Korea|Eastern Asia|PRK|24039000|Hamhung|Hamgyong N|709730
Mexico|Central America|MEX|98881000|Iguala de la Independencia|Guerrero|123883
Cambodia|Southeast Asia|KHM|11168000|Siem Reap|Siem Reap|105100
Turkey|Middle East|TUR|66591000|Izmir|Izmir|2130359
Brazil|South America|BRA|170115000|Itabuna|Bahia|182148
Japan|Eastern Asia|JPN|126714000|Omuta|Fukuoka|142889
Germany|Western Europe|DEU|82164700|Saarbrücken|Saarland|183836
Hungary|Eastern Europe|HUN|10043200|Debrecen|Hajdú-Bihar|203648
Belarus|Eastern Europe|BLR|10236000|Mogiljov|Mogiljov|356000
India|Southern and Central Asia|IND|1013662000|Sonipat (Sonepat)|Haryana|143922
South Korea|Eastern Asia|KOR|46844000|Chonan|Chungchongnam|330259
Russian Federation|Eastern Europe|RUS|146934000|Kirov|Kirov|466200
Morocco|Northern Africa|MAR|28351000|Agadir|Souss Massa-Draâ|155244
France|Western Europe|FRA|59225700|Reims|Nord-Pas-de-Calais|187206
Iraq|Middle East|IRQ|23115000|al-Nasiriya|DhiQar|265937
Belarus|Eastern Europe|BLR|10236000|Baranovitši|Brest|167000
Uzbekistan|Southern and Central Asia|UZB|24318000|Margilon|Fargona|140800
Russian Federation|Eastern Europe|RUS|146934000|Nevinnomyssk|Stavropol|132600
United States|North America|USA|278357000|Syracuse|New York|147306
France|Western Europe|FRA|59225700|Lyon|Rhône-Alpes|445452
Mexico|Central America|MEX|98881000|San Pedro Garza García|Nuevo León|126147
Saudi Arabia|Middle East|SAU|21607000|Yanbu|Medina|119800
Russian Federation|Eastern Europe|RUS|146934000|Juzno-Sahalinsk|Sahalin|179200
Italy|Southern Europe|ITA|57680000|La Spezia|Liguria|95504
Nigeria|Western Africa|NGA|111506000|Ejigbo|Oyo & Osun|105900
Russian Federation|Eastern Europe|RUS|146934000|Balašiha|Moskova|132900
Italy|Southern Europe|ITA|57680000|Cesena|Emilia-Romagna|89852
Israel|Middle East|ISR|6217000|Haifa|Haifa|265700
India|Southern and Central Asia|IND|1013662000|Solapur (Sholapur)|Maharashtra|604215
China|Eastern Asia|CHN|1277558000|Bengbu|Anhui|449245
Guinea-Bissau|Western Africa|GNB|1213000|Bissau|Bissau|241000
Brazil|South America|BRA|170115000|Santo André|São Paulo|630073
India|Southern and Central Asia|IND|1013662000|Jalna|Maharashtra|174985
Japan|Eastern Asia|JPN|126714000|Ichikawa|Chiba|441893
Mexico|Central America|MEX|98881000|Poza Rica de Hidalgo|Veracruz|152678
United States|North America|USA|278357000|Hollywood|Florida|139357
United States|North America|USA|278357000|Newark|New Jersey|273546
United States|North America|USA|278357000|Arvada|Colorado|102153
Egypt|Northern Africa|EGY|68470000|Kafr al-Dawwar|al-Buhayra|231978
Philippines|Southeast Asia|PHL|75967000|Pasay|National Capital Reg|354908
Argentina|South America|ARG|37032000|Ezeiza|Buenos Aires|99578
United States|North America|USA|278357000|New Haven|Connecticut|123626
Bangladesh|Southern and Central Asia|BGD|129155000|Brahmanbaria|Chittagong|109032
Spain|Southern Europe|ESP|39441700|Donostia-San Sebastián|Baskimaa|179208
Japan|Eastern Asia|JPN|126714000|Jokohama [Yokohama]|Kanagawa|3339594
Morocco|Northern Africa|MAR|28351000|Fès|Fès-Boulemane|541162
Ethiopia|Eastern Africa|ETH|62565000|Mekele|Tigray|96938
Russian Federation|Eastern Europe|RUS|146934000|Noginsk|Moskova|117200
India|Southern and Central Asia|IND|1013662000|Barahanagar (Baranagar)|West Bengali|224821
Poland|Eastern Europe|POL|38653600|Kraków|Malopolskie|738150
Mexico|Central America|MEX|98881000|San Luis Río Colorado|Sonora|145276
Iran|Southern and Central Asia|IRN|67702000|Abadan|Khuzestan|206073
United States|North America|USA|278357000|Paradise|Nevada|124682
Czech Republic|Eastern Europe|CZE|10278100|Praha|Hlavní mesto Praha|1181126
Turkey|Middle East|TUR|66591000|Sivas|Sivas|246642
United States|North America|USA|278357000|Lakewood|Colorado|144126
Poland|Eastern Europe|POL|38653600|Plock|Mazowieckie|131011
United Kingdom|British Islands|GBR|59623400|Southend-on-Sea|England|176000
India|Southern and Central Asia|IND|1013662000|Anand|Gujarat|110266
Mexico|Central America|MEX|98881000|Uruapan|Michoacán de Ocampo|265211
Venezuela|South America|VEN|24170000|Catia La Mar|Distrito Federal|117012
Indonesia|Southeast Asia|IDN|212107000|Mataram|Nusa Tenggara Barat|306600
Iran|Southern and Central Asia|IRN|67702000|Khorramshahr|Khuzestan|105636
Philippines|Southeast Asia|PHL|75967000|Bacoor|Southern Tagalog|305699
Haiti|Caribbean|HTI|8222000|Carrefour|Ouest|290204
Israel|Middle East|ISR|6217000|Holon|Tel Aviv|163100
Mexico|Central America|MEX|98881000|Boca del Río|Veracruz-Llave|135721
Pakistan|Southern and Central Asia|PAK|156483000|Multan|Punjab|1182441
Malaysia|Southeast Asia|MYS|22244000|Pinang|Pulau Pinang|219603
Indonesia|Southeast Asia|IDN|212107000|Pekalongan|Central Java|301504
Netherlands|Western Europe|NLD|15864000|Alkmaar|Noord-Holland|92713
United Kingdom|British Islands|GBR|59623400|Wolverhampton|England|242000
South Korea|Eastern Asia|KOR|46844000|Kwangmyong|Kyonggi|350914
Russian Federation|Eastern Europe|RUS|146934000|Novotšerkassk|Rostov-na-Donu|184400
India|Southern and Central Asia|IND|1013662000|Latur|Maharashtra|197408
Netherlands|Western Europe|NLD|15864000|´s-Hertogenbosch|Noord-Brabant|129170
Poland|Eastern Europe|POL|38653600|Wroclaw|Dolnoslaskie|636765
Russian Federation|Eastern Europe|RUS|146934000|Novyi Urengoi|Yamalin Nenetsia|89800
China|Eastern Asia|CHN|1277558000|Heze|Shandong|189293
Brazil|South America|BRA|170115000|Sapucaia do Sul|Rio Grande do Sul|120217
Venezuela|South America|VEN|24170000|Carúpano|Sucre|119639
Colombia|South America|COL|42321000|Armenia|Quindío|288977
Japan|Eastern Asia|JPN|126714000|Koriyama|Fukushima|330335
Chile|South America|CHL|15211000|Osorno|Los Lagos|141468
United States|North America|USA|278357000|Midland|Texas|98293
Japan|Eastern Asia|JPN|126714000|Anjo|Aichi|153823
Russian Federation|Eastern Europe|RUS|146934000|St Petersburg|Pietari|4694000
Russian Federation|Eastern Europe|RUS|146934000|Jakutsk|Saha (Jakutia)|195400
France|Western Europe|FRA|59225700|Rennes|Haute-Normandie|206229
Colombia|South America|COL|42321000|Soledad|Atlántico|295058
South Africa|Southern Africa|ZAF|40377000|Soshanguve|Gauteng|242727
Brazil|South America|BRA|170115000|Corumbá|Mato Grosso do Sul|90111
Panama|Central America|PAN|2856000|Ciudad de Panamá|Panamá|471373
Portugal|Southern Europe|PRT|9997600|Braga|Braga|90535
Japan|Eastern Asia|JPN|126714000|Kure|Hiroshima|206504
Philippines|Southeast Asia|PHL|75967000|Cauayan|Cagayan Valley|103952
China|Eastern Asia|CHN|1277558000|Fuyang|Anhui|179572
Russian Federation|Eastern Europe|RUS|146934000|Uljanovsk|Uljanovsk|667400
Lithuania|Baltic Countries|LTU|3698500|Vilnius|Vilna|577969
South Korea|Eastern Asia|KOR|46844000|Cheju|Cheju|258511
Russian Federation|Eastern Europe|RUS|146934000|Kirovo-Tšepetsk|Kirov|91600
China|Eastern Asia|CHN|1277558000|Xingtai|Hebei|302789
Iraq|Middle East|IRQ|23115000|al-Najaf|al-Najaf|309010
India|Southern and Central Asia|IND|1013662000|Karnal|Haryana|173751
Colombia|South America|COL|42321000|Tunja|Boyacá|109740
India|Southern and Central Asia|IND|1013662000|Kalyan|Maharashtra|1014557
China|Eastern Asia|CHN|1277558000|Cixi|Zhejiang|107329
United States|North America|USA|278357000|San Francisco|California|776733
French Polynesia|Polynesia|PYF|235000|Faaa|Tahiti|25888
Romania|Eastern Europe|ROM|22455500|Sibiu|Sibiu|169611
India|Southern and Central Asia|IND|1013662000|Gudivada|Andhra Pradesh|101656
France|Western Europe|FRA|59225700|Le Havre|Champagne-Ardenne|190905
China|Eastern Asia|CHN|1277558000|Haikou|Hainan|454300
India|Southern and Central Asia|IND|1013662000|Bhagalpur|Bihar|253225
Brazil|South America|BRA|170115000|Jequié|Bahia|179128
Philippines|Southeast Asia|PHL|75967000|Nasugbu|Southern Tagalog|96113
India|Southern and Central Asia|IND|1013662000|Ashoknagar-Kalyangarh|West Bengali|96315
Brazil|South America|BRA|170115000|São José dos Pinhais|Paraná|196884
India|Southern and Central Asia|IND|1013662000|Champdani|West Bengali|98818
China|Eastern Asia|CHN|1277558000|Meihekou|Jilin|209038
Argentina|South America|ARG|37032000|Vicente López|Buenos Aires|288341
Spain|Southern Europe|ESP|39441700|Oviedo|Asturia|200453
New Zealand|Australia and New Zealand|NZL|3862000|Auckland|Auckland|381800
Germany|Western Europe|DEU|82164700|Darmstadt|Hessen|137776
Japan|Eastern Asia|JPN|126714000|Nagareyama|Chiba|147738
India|Southern and Central Asia|IND|1013662000|Pune|Maharashtra|1566651
Nigeria|Western Africa|NGA|111506000|Oyo|Oyo & Osun|256400
Brazil|South America|BRA|170115000|Cachoeiro de Itapemirim|Espírito Santo|155024
Nigeria|Western Africa|NGA|111506000|Lafia|Plateau & Nassarawa|122500
Iran|Southern and Central Asia|IRN|67702000|Semnan|Semnan|91045
Russian Federation|Eastern Europe|RUS|146934000|Orsk|Orenburg|273900
United States|North America|USA|278357000|Cape Coral|Florida|102286
Turkey|Middle East|TUR|66591000|Iskenderun|Hatay|153022
Mexico|Central America|MEX|98881000|Huejutla de Reyes|Hidalgo|108017
Spain|Southern Europe|ESP|39441700|Burgos|Castilla and León|162802
Russian Federation|Eastern Europe|RUS|146934000|Ufa|Baškortostan|1091200
Brazil|South America|BRA|170115000|Osasco|São Paulo|659604
Puerto Rico|Caribbean|PRI|3869000|Guaynabo|Guaynabo|100053
United States|North America|USA|278357000|Pomona|California|149473
China|Eastern Asia|CHN|1277558000|Hohhot|Inner Mongolia|916700
Yugoslavia|Southern Europe|YUG|10640000|Kragujevac|Central Serbia|147305
India|Southern and Central Asia|IND|1013662000|Orai|Uttar Pradesh|98640
Russian Federation|Eastern Europe|RUS|146934000|Novotroitsk|Orenburg|109600
Mexico|Central America|MEX|98881000|Atizapán de Zaragoza|México|467262
Nigeria|Western Africa|NGA|111506000|Jos|Plateau & Nassarawa|206300
Mexico|Central America|MEX|98881000|Mazatlán|Sinaloa|380265
Kazakstan|Southern and Central Asia|KAZ|16223000|Zhezqazghan|Qaraghandy|90000
Mexico|Central America|MEX|98881000|Culiacán|Sinaloa|744859
India|Southern and Central Asia|IND|1013662000|Nadiad|Gujarat|167051
Russian Federation|Eastern Europe|RUS|146934000|Novosibirsk|Novosibirsk|1398800
Taiwan|Eastern Asia|TWN|22256000|Pingchen|Taoyuan|188344
Ukraine|Eastern Europe|UKR|50456000|Hmelnytskyi|Hmelnytskyi|262000
Japan|Eastern Asia|JPN|126714000|Nobeoka|Miyazaki|125547
United Kingdom|British Islands|GBR|59623400|Rochdale|England|94313
Ukraine|Eastern Europe|UKR|50456000|Pavlograd|Dnipropetrovsk|127000
Brazil|South America|BRA|170115000|Macapá|Amapá|256033
China|Eastern Asia|CHN|1277558000|Fujin|Heilongjiang|103104
Switzerland|Western Europe|CHE|7160400|Zürich|Zürich|336800
Indonesia|Southeast Asia|IDN|212107000|Bekasi|West Java|644300
South Africa|Southern Africa|ZAF|40377000|Nigel|Gauteng|96734
North Korea|Eastern Asia|PRK|24039000|Sariwon|Hwanghae P|254146
Sweden|Nordic Countries|SWE|8861400|Linköping|East Götanmaan län|133168
Japan|Eastern Asia|JPN|126714000|Urasoe|Okinawa|96002
Japan|Eastern Asia|JPN|126714000|Tokai|Aichi|99738
Bosnia and Herzegovina|Southern Europe|BIH|3972000|Zenica|Federaatio|96027
Japan|Eastern Asia|JPN|126714000|Iida|Nagano|107583
Brazil|South America|BRA|170115000|Luziânia|Goiás|125597
Turkmenistan|Southern and Central Asia|TKM|4459000|Dashhowuz|Dashhowuz|141800
China|Eastern Asia|CHN|1277558000|Wuxi|Jiangsu|830000
Myanmar|Southeast Asia|MMR|45611000|Pegu (Bago)|Pegu [Bago]|190900
Australia|Australia and New Zealand|AUS|18886000|Central Coast|New South Wales|227657
Mexico|Central America|MEX|98881000|Tepatitlán de Morelos|Jalisco|118948
Japan|Eastern Asia|JPN|126714000|Tsu|Mie|164543
Philippines|Southeast Asia|PHL|75967000|Dasmariñas|Southern Tagalog|379520
Kazakstan|Southern and Central Asia|KAZ|16223000|Ekibastuz|Pavlodar|127200
Germany|Western Europe|DEU|82164700|Iserlohn|Nordrhein-Westfalen|99474
Chile|South America|CHL|15211000|Coquimbo|Coquimbo|143353
Pakistan|Southern and Central Asia|PAK|156483000|Mandi Bahauddin|Punjab|97300
Mexico|Central America|MEX|98881000|La Paz|México|213045
Pakistan|Southern and Central Asia|PAK|156483000|Bahawalpur|Punjab|403408
China|Eastern Asia|CHN|1277558000|Huaiyin|Jiangsu|239675
China|Eastern Asia|CHN|1277558000|Dunhua|Jilin|235100
Brazil|South America|BRA|170115000|Pelotas|Rio Grande do Sul|315415
Spain|Southern Europe|ESP|39441700|Dos Hermanas|Andalusia|94591
Saudi Arabia|Middle East|SAU|21607000|al-Tuqba|al-Sharqiya|125700
Swaziland|Southern Africa|SWZ|1008000|Mbabane|Hhohho|61000
China|Eastern Asia|CHN|1277558000|Deyang|Sichuan|182488
Nigeria|Western Africa|NGA|111506000|Gombe|Bauchi & Gombe|107800
Cameroon|Central Africa|CMR|15085000|Maroua|Extrême-Nord|143000
Nigeria|Western Africa|NGA|111506000|Bida|Niger|125500
United Kingdom|British Islands|GBR|59623400|Oldham|England|103931
Turkey|Middle East|TUR|66591000|Hatay (Antakya)|Hatay|143982
Mexico|Central America|MEX|98881000|Monterrey|Nuevo León|1108499
Kenya|Eastern Africa|KEN|30080000|Nairobi|Nairobi|2290000
Brazil|South America|BRA|170115000|Eunápolis|Bahia|96610
Italy|Southern Europe|ITA|57680000|Ancona|Marche|98329
Japan|Eastern Asia|JPN|126714000|Shimizu|Shizuoka|239123
Germany|Western Europe|DEU|82164700|Siegen|Nordrhein-Westfalen|109225
Philippines|Southeast Asia|PHL|75967000|Mati|Southern Mindanao|105908
South Korea|Eastern Asia|KOR|46844000|Chunchon|Kang-won|234528
Pakistan|Southern and Central Asia|PAK|156483000|Gujrat|Punjab|250121
India|Southern and Central Asia|IND|1013662000|Chandrapur|Maharashtra|226105
China|Eastern Asia|CHN|1277558000|Zhoukou|Henan|146288
Armenia|Middle East|ARM|3520000|Yerevan|Yerevan|1248700
Portugal|Southern Europe|PRT|9997600|Amadora|Lisboa|122106
Brazil|South America|BRA|170115000|Barretos|São Paulo|104156
Poland|Eastern Europe|POL|38653600|Jelenia Góra|Dolnoslaskie|93901
Bulgaria|Eastern Europe|BGR|8190900|Pleven|Lovec|121952
India|Southern and Central Asia|IND|1013662000|Veraval|Gujarat|123000
Taiwan|Eastern Asia|TWN|22256000|Keelung (Chilung)|Keelung|385201
South Korea|Eastern Asia|KOR|46844000|Ichon|Kyonggi|155332
China|Eastern Asia|CHN|1277558000|Jinxi|Liaoning|357052
Brazil|South America|BRA|170115000|Passos|Minas Gerais|98570
Mexico|Central America|MEX|98881000|Acuña|Coahuila de Zaragoza|110388
Lesotho|Southern Africa|LSO|2153000|Maseru|Maseru|297000
Poland|Eastern Europe|POL|38653600|Czestochowa|Slaskie|257812
Morocco|Northern Africa|MAR|28351000|Oujda|Oriental|365382
Germany|Western Europe|DEU|82164700|Erlangen|Baijeri|100750
Pakistan|Southern and Central Asia|PAK|156483000|Pak Pattan|Punjab|107800
Zimbabwe|Eastern Africa|ZWE|11669000|Harare|Harare|1410000
Sudan|Northern Africa|SDN|29490000|Kassala|Kassala|234622
Germany|Western Europe|DEU|82164700|Bonn|Nordrhein-Westfalen|301048
Philippines|Southeast Asia|PHL|75967000|Muntinlupa|National Capital Reg|379310
Nigeria|Western Africa|NGA|111506000|Awka|Anambra & Enugu & Eb|111200
Japan|Eastern Asia|JPN|126714000|Onomichi|Hiroshima|93756
China|Eastern Asia|CHN|1277558000|Yichang|Hubei|371601
Belarus|Eastern Europe|BLR|10236000|Soligorsk|Minsk|101000
Indonesia|Southeast Asia|IDN|212107000|Surabaya|East Java|2663820
Sri Lanka|Southern and Central Asia|LKA|18827000|Kandy|Central|140000
Afghanistan|Southern and Central Asia|AFG|22720000|Mazar-e-Sharif|Balkh|127800
Mexico|Central America|MEX|98881000|Cosoleacaque|Veracruz|97199
India|Southern and Central Asia|IND|1013662000|Chandigarh|Chandigarh|504094
Philippines|Southeast Asia|PHL|75967000|San Jose|Central Luzon|108254
Taiwan|Eastern Asia|TWN|22256000|Taliao||115897
Japan|Eastern Asia|JPN|126714000|Takamatsu|Kagawa|332471
Netherlands|Western Europe|NLD|15864000|Haarlemmermeer|Noord-Holland|110722
China|Eastern Asia|CHN|1277558000|Junan|Shandong|90222
Russian Federation|Eastern Europe|RUS|146934000|Brjansk|Brjansk|457400
Paraguay|South America|PRY|5496000|Asunción|Asunción|557776
Iran|Southern and Central Asia|IRN|67702000|Ilam|Ilam|126346
Zambia|Eastern Africa|ZMB|9169000|Lusaka|Lusaka|1317000
Peru|South America|PER|25662000|Tacna|Tacna|215683
India|Southern and Central Asia|IND|1013662000|Bilaspur|Chhatisgarh|179833
Argentina|South America|ARG|37032000|Pilar|Buenos Aires|113428
Italy|Southern Europe|ITA|57680000|Reggio nell´ Emilia|Emilia-Romagna|143664
Poland|Eastern Europe|POL|38653600|Zabrze|Slaskie|200177
Kazakstan|Southern and Central Asia|KAZ|16223000|Rudnyy|Qostanay|109500
Philippines|Southeast Asia|PHL|75967000|San Miguel|Central Luzon|123824
United States|North America|USA|278357000|Manchester|New Hampshire|107006
Germany|Western Europe|DEU|82164700|Stuttgart|Baden-Württemberg|582443
South Africa|Southern Africa|ZAF|40377000|Mdantsane|Eastern Cape|182639
Russian Federation|Eastern Europe|RUS|146934000|Ussurijsk|Primorje|157300
Monaco|Western Europe|MCO|34000|Monaco-Ville|–|1234
India|Southern and Central Asia|IND|1013662000|Hyderabad|Andhra Pradesh|2964638
Russian Federation|Eastern Europe|RUS|146934000|Bataisk|Rostov-na-Donu|97300
China|Eastern Asia|CHN|1277558000|Chenzhou|Hunan|169400
China|Eastern Asia|CHN|1277558000|Fuling|Sichuan|173878
Kazakstan|Southern and Central Asia|KAZ|16223000|Kökshetau|North Kazakstan|123400
Australia|Australia and New Zealand|AUS|18886000|Sydney|New South Wales|3276207
Chile|South America|CHL|15211000|Iquique|Tarapacá|177892
United States|North America|USA|278357000|Orange|California|128821
Argentina|South America|ARG|37032000|Mendoza|Mendoza|123027
Japan|Eastern Asia|JPN|126714000|Mishima|Shizuoka|109699
Argentina|South America|ARG|37032000|Morón|Buenos Aires|349246
Japan|Eastern Asia|JPN|126714000|Joetsu|Niigata|133505
Malaysia|Southeast Asia|MYS|22244000|Sibu|Sarawak|126381
Tanzania|Eastern Africa|TZA|33517000|Arusha|Arusha|102500
Iran|Southern and Central Asia|IRN|67702000|Arak|Markazi|380755
Brazil|South America|BRA|170115000|Nova Iguaçu|Rio de Janeiro|862225
Brazil|South America|BRA|170115000|Teresópolis|Rio de Janeiro|128079
Indonesia|Southeast Asia|IDN|212107000|Sawangan|West Java|91100
South Korea|Eastern Asia|KOR|46844000|Poryong|Chungchongnam|122604
Yemen|Middle East|YEM|18112000|Hodeida|Hodeida|298500
Morocco|Northern Africa|MAR|28351000|Taza|Taza-Al Hoceima-Taou|92700
Philippines|Southeast Asia|PHL|75967000|Lipa|Southern Tagalog|218447
Indonesia|Southeast Asia|IDN|212107000|Madiun|East Java|171532
Chile|South America|CHL|15211000|Punta Arenas|Magallanes|125631
Niger|Western Africa|NER|10730000|Niamey|Niamey|420000
United States|North America|USA|278357000|Richmond|Virginia|197790
China|Eastern Asia|CHN|1277558000|Zhangzhou|Fujian|181424
Turkey|Middle East|TUR|66591000|Tekirdag|Tekirdag|106077
India|Southern and Central Asia|IND|1013662000|South Dum Dum|West Bengali|232811
Russian Federation|Eastern Europe|RUS|146934000|Grozny|Tšetšenia|186000
Spain|Southern Europe|ESP|39441700|Elche [Elx]|Valencia|193174
United States|North America|USA|278357000|Huntington Beach|California|189594
Canada|North America|CAN|31147000|Gloucester|Ontario|107314
China|Eastern Asia|CHN|1277558000|Jinan|Shandong|2278100
Japan|Eastern Asia|JPN|126714000|Noda|Chiba|121030
Romania|Eastern Europe|ROM|22455500|Pitesti|Arges|187170
Ecuador|South America|ECU|12646000|Cuenca|Azuay|270353
India|Southern and Central Asia|IND|1013662000|Hubli-Dharwad|Karnataka|648298
Romania|Eastern Europe|ROM|22455500|Suceava|Suceava|118549
Poland|Eastern Europe|POL|38653600|Koszalin|Zachodnio-Pomorskie|112375
United States|North America|USA|278357000|Wichita|Kansas|344284
Japan|Eastern Asia|JPN|126714000|Ibaraki|Osaka|261020
